DESTINATION_CLEAN,IATA_CODE,AIRLINE_CLEAN,AIRCRAFT_SHORT,CANCELED,DATETIME,DEPART_TIME,DEPART_DATETIME,DELAY_MINUTES
Malta,MLA,Helvetic Airways,E190,False,2025-05-14 06:45:00,07:04,2025-05-14 07:04:00,19
Palma de Mallorca,PMI,Swiss,A320,False,2025-05-14 06:45:00,07:07,2025-05-14 07:07:00,22
Hurghada,HRG,Edelweiss Air,A320,False,2025-05-14 06:45:00,07:01,2025-05-14 07:01:00,16
Sofia,SOF,Helvetic Airways,E190,False,2025-05-14 06:50:00,07:04,2025-05-14 07:04:00,14
Sarajevo,SJJ,Helvetic Airways,E290,False,2025-05-14 06:50:00,07:21,2025-05-14 07:21:00,31
Hurghada,HRG,Swiss Air,CL60,False,2025-05-14 06:50:00,07:01,2025-05-14 07:01:00,11
Frankfurt,FRA,Helvetic Airways,E290,False,2025-05-14 06:55:00,07:37,2025-05-14 07:37:00,42
Krakow,KRK,Helvetic Airways,E295,False,2025-05-14 06:55:00,07:50,2025-05-14 07:50:00,55
Belgrade,BEG,Air Baltic,BCS3,False,2025-05-14 06:55:00,07:10,2025-05-14 07:10:00,15
Madrid,MAD,Helvetic Airways,E290,False,2025-05-14 06:55:00,07:12,2025-05-14 07:12:00,17
Amsterdam,AMS,KLM,B737,False,2025-05-14 07:00:00,07:24,2025-05-14 07:24:00,24
Bordeaux,BOD,Helvetic Airways,E195,False,2025-05-14 07:00:00,07:13,2025-05-14 07:13:00,13
Palermo,PMO,Air Baltic,BCS3,False,2025-05-14 07:00:00,07:19,2025-05-14 07:19:00,19
London,LHR,Swiss,A21N,False,2025-05-14 07:05:00,07:23,2025-05-14 07:23:00,18
Birmingham,BHX,Helvetic Airways,E190,False,2025-05-14 07:05:00,07:29,2025-05-14 07:29:00,24
Manchester,MAN,Helvetic Airways,E295,False,2025-05-14 07:05:00,07:16,2025-05-14 07:16:00,11
Hannover,HAJ,Swiss,BCS1,False,2025-05-14 07:05:00,07:25,2025-05-14 07:25:00,20
Copenhagen,CPH,Swiss,A321,False,2025-05-14 07:10:00,07:46,2025-05-14 07:46:00,36
Naples,NAP,Helvetic Airways,E195,False,2025-05-14 07:10:00,07:30,2025-05-14 07:30:00,20
Barcelona,BCN,Swiss,A320,False,2025-05-14 07:10:00,07:32,2025-05-14 07:32:00,22
Budapest,BUD,Air Baltic,BCS3,False,2025-05-14 07:10:00,07:58,2025-05-14 07:58:00,48
London,LHR,British Airways,A319,False,2025-05-14 07:15:00,07:48,2025-05-14 07:48:00,33
Hamburg,HAM,Swiss,BCS3,False,2025-05-14 07:15:00,07:35,2025-05-14 07:35:00,20
Munich,MUC,Swiss,BCS3,False,2025-05-14 07:15:00,07:27,2025-05-14 07:27:00,12
Amsterdam,AMS,Swiss,A20N,False,2025-05-14 07:20:00,07:53,2025-05-14 07:53:00,33
Berlin,BER,Air Baltic,BCS3,False,2025-05-14 07:20:00,07:40,2025-05-14 07:40:00,20
Vienna,VIE,Swiss,A320,False,2025-05-14 07:20:00,07:39,2025-05-14 07:39:00,19
Rome,FCO,Swiss,A21N,False,2025-05-14 07:20:00,08:03,2025-05-14 08:03:00,43
Brussels,BRU,Swiss,A20N,False,2025-05-14 07:25:00,07:44,2025-05-14 07:44:00,19
Geneva,GVA,Swiss,A320,False,2025-05-14 07:25:00,08:01,2025-05-14 08:01:00,36
Paris,CDG,Swiss,A21N,False,2025-05-14 07:25:00,07:55,2025-05-14 07:55:00,30
Madrid,MAD,Iberia,A319,False,2025-05-14 07:30:00,07:52,2025-05-14 07:52:00,22
Nice,NCE,Swiss,BCS1,False,2025-05-14 07:30:00,07:43,2025-05-14 07:43:00,13
Dusseldorf,DUS,Helvetic Airways,E290,False,2025-05-14 07:30:00,07:49,2025-05-14 07:49:00,19
Marrakesh,RAK,Edelweiss Air,A320,False,2025-05-14 07:35:00,07:59,2025-05-14 07:59:00,24
Cannes,CEQ,Bartolini Air,C525,False,2025-05-14 07:35:00,08:05,2025-05-14 08:05:00,30
Istanbul,IST,Turkish Airlines,B738,False,2025-05-14 07:40:00,08:07,2025-05-14 08:07:00,27
Paris,CDG,Air France,BCS3,False,2025-05-14 07:45:00,08:09,2025-05-14 08:09:00,24
Prague,PRG,Swiss,BCS3,False,2025-05-14 07:50:00,08:16,2025-05-14 08:16:00,26
Frankfurt,FRA,Condor,A320,False,2025-05-14 08:00:00,08:10,2025-05-14 08:10:00,10
Chateauroux,CHR,Swiss,A333,False,2025-05-14 08:00:00,08:28,2025-05-14 08:28:00,28
Cologne,CGN,Eurowings,A320,False,2025-05-14 08:05:00,08:19,2025-05-14 08:19:00,14
Berlin,BER,easyJet,A320,False,2025-05-14 08:05:00,08:17,2025-05-14 08:17:00,12
London,LCY,Swiss,BCS1,False,2025-05-14 08:10:00,08:21,2025-05-14 08:21:00,11
Frankfurt,FRA,Lufthansa,A319,False,2025-05-14 08:15:00,08:26,2025-05-14 08:26:00,11
Berlin,BER,Helvetic Airways,E295,False,2025-05-14 08:15:00,08:42,2025-05-14 08:42:00,27
Hamburg,HAM,Swiss,BCS3,False,2025-05-14 08:30:00,08:40,2025-05-14 08:40:00,10
Rome,FCO,easyJet,A319,False,2025-05-14 08:30:00,08:33,2025-05-14 08:33:00,3
Florence,FLR,Swiss,BCS1,False,2025-05-14 08:35:00,08:45,2025-05-14 08:45:00,10
Luxembourg,LUX,Air Baltic,BCS3,False,2025-05-14 08:40:00,08:52,2025-05-14 08:52:00,12
Dusseldorf,DUS,Eurowings,A320,False,2025-05-14 08:45:00,09:01,2025-05-14 09:01:00,16
Venice,VCE,Swiss,A320,False,2025-05-14 08:45:00,08:59,2025-05-14 08:59:00,14
Bologna,BLQ,Helvetic Airways,E195,False,2025-05-14 08:45:00,08:48,2025-05-14 08:48:00,3
Vienna,VIE,Austrian Airlines,A320,False,2025-05-14 08:50:00,09:09,2025-05-14 09:09:00,19
Ljubljana,LJU,Swiss,A320,False,2025-05-14 08:55:00,09:07,2025-05-14 09:07:00,12
Milan,MXP,Helvetic Airways,E290,False,2025-05-14 09:00:00,09:32,2025-05-14 09:32:00,32
Brussels,BRU,Air Baltic,BCS3,False,2025-05-14 09:00:00,09:12,2025-05-14 09:12:00,12
Hamburg,HAM,Eurowings,A319,False,2025-05-14 09:05:00,09:10,2025-05-14 09:10:00,5
Berlin,BER,Eurowings,A320,False,2025-05-14 09:05:00,09:26,2025-05-14 09:26:00,21
Luxembourg,LUX,NetJets Europe,E55P,False,2025-05-14 09:05:00,08:54,2025-05-14 08:54:00,-11
Geneva,GVA,Swiss,A320,False,2025-05-14 09:10:00,09:25,2025-05-14 09:25:00,15
Thessaloniki,SKG,Swiss,A321,False,2025-05-14 09:15:00,09:28,2025-05-14 09:28:00,13
Istanbul,IST,Turkish Cargo,A332,False,2025-05-14 09:15:00,09:53,2025-05-14 09:53:00,38
Amsterdam,AMS,KLM,E295,False,2025-05-14 09:20:00,09:41,2025-05-14 09:41:00,21
Lisbon,LIS,Swiss,BCS3,False,2025-05-14 09:20:00,09:34,2025-05-14 09:34:00,14
Athens,ATH,Swiss,A20N,False,2025-05-14 09:25:00,09:48,2025-05-14 09:48:00,23
Newquay,NQY,Edelweiss Air,A320,False,2025-05-14 09:25:00,09:38,2025-05-14 09:38:00,13
Milan,LIN,Haute Aviation,E55P,False,2025-05-14 09:25:00,09:36,2025-05-14 09:36:00,11
Belgrade,BEG,Bulgaria Air,E190,False,2025-05-14 09:30:00,09:46,2025-05-14 09:46:00,16
Munich,MUC,Helvetic Airways,E195,False,2025-05-14 09:30:00,09:56,2025-05-14 09:56:00,26
Stuttgart,STR,Swiss,BCS3,False,2025-05-14 09:30:00,09:50,2025-05-14 09:50:00,20
Frankfurt,FRA,Air Dolomiti,E190,False,2025-05-14 09:30:00,09:39,2025-05-14 09:39:00,9
Barcelona,BCN,Vueling,A320,False,2025-05-14 09:35:00,13:18,2025-05-14 13:18:00,223
Marsa Alam,RMF,Edelweiss Air,A320,False,2025-05-14 09:35:00,10:04,2025-05-14 10:04:00,29
Stockholm,ARN,Air Baltic,BCS3,False,2025-05-14 09:40:00,10:02,2025-05-14 10:02:00,22
Malaga,AGP,Swiss,A21N,False,2025-05-14 09:40:00,10:08,2025-05-14 10:08:00,28
Doha,DOH,Qatar Airways,A359,False,2025-05-14 09:40:00,09:52,2025-05-14 09:52:00,12
Antalya,AYT,SunExpress,B738,False,2025-05-14 09:40:00,09:59,2025-05-14 09:59:00,19
Mumbai,BOM,Swiss,A333,False,2025-05-14 09:45:00,09:58,2025-05-14 09:58:00,13
Porto,OPO,Swiss,A21N,False,2025-05-14 09:45:00,10:10,2025-05-14 10:10:00,25
Malaga,AGP,easyJet,A319,False,2025-05-14 09:45:00,10:11,2025-05-14 10:11:00,26
Chicago,ORD,United Airlines,B763,False,2025-05-14 09:50:00,10:05,2025-05-14 10:05:00,15
Palma de Mallorca,PMI,easyJet,A320,False,2025-05-14 09:55:00,10:03,2025-05-14 10:03:00,8
New York,JFK,Swiss,A333,False,2025-05-14 10:00:00,10:29,2025-05-14 10:29:00,29
Palma de Mallorca,PMI,Swiss,A20N,False,2025-05-14 10:00:00,10:13,2025-05-14 10:13:00,13
Alicante,ALC,easyJet,A319,False,2025-05-14 10:00:00,10:23,2025-05-14 10:23:00,23
Weeze,NRN,AXIS Aviation,F2TH,False,2025-05-14 10:00:00,10:01,2025-05-14 10:01:00,1
Atlanta,ATL,Delta Air Lines,B763,False,2025-05-14 10:10:00,10:31,2025-05-14 10:31:00,21
New York,EWR,United Airlines,B763,False,2025-05-14 10:10:00,10:45,2025-05-14 10:45:00,35
London,LHR,British Airways,A320,False,2025-05-14 10:15:00,10:27,2025-05-14 10:27:00,12
Copenhagen,CPH,SAS,A20N,False,2025-05-14 10:20:00,10:33,2025-05-14 10:33:00,13
London,LGW,easyJet,A319,False,2025-05-14 10:25:00,11:55,2025-05-14 11:55:00,90
Warsaw,WAW,LOT,E195,False,2025-05-14 10:30:00,10:36,2025-05-14 10:36:00,6
London,LHR,Swiss,A20N,False,2025-05-14 10:30:00,10:50,2025-05-14 10:50:00,20
Genoa,GOA,Jetfly Aviation,PC24,False,2025-05-14 10:30:00,10:35,2025-05-14 10:35:00,5
Rome,FCO,ITA Airways,A319,False,2025-05-14 10:40:00,10:51,2025-05-14 10:51:00,11
Oslo,OSL,Helvetic Airways,E295,False,2025-05-14 10:40:00,10:56,2025-05-14 10:56:00,16
Vienna,VIE,Austrian Airlines,A320,False,2025-05-14 10:40:00,10:47,2025-05-14 10:47:00,7
Helsinki,HEL,Finnair,A320,False,2025-05-14 10:50:00,10:44,2025-05-14 10:44:00,-6
Dublin,DUB,Swiss,BCS3,False,2025-05-14 10:50:00,11:07,2025-05-14 11:07:00,17
Istanbul,IST,Turkish Airlines,A333,False,2025-05-14 10:50:00,12:57,2025-05-14 12:57:00,127
Antalya,AYT,Pegasus,A20N,False,2025-05-14 11:00:00,11:14,2025-05-14 11:14:00,14
Madrid,MAD,Air Europa,B738,False,2025-05-14 11:10:00,11:19,2025-05-14 11:19:00,9
Athens,ATH,Aegean Airlines,A20N,False,2025-05-14 11:15:00,11:33,2025-05-14 11:33:00,18
Dublin,DUB,Aer Lingus,A320,False,2025-05-14 11:15:00,11:49,2025-05-14 11:49:00,34
Abu Dhabi,AUH,Etihad Airways,B789,False,2025-05-14 11:15:00,11:50,2025-05-14 11:50:00,35
Lisbon,LIS,easyJet,A21N,False,2025-05-14 11:15:00,11:26,2025-05-14 11:26:00,11
Frankfurt,FRA,Lufthansa,A319,False,2025-05-14 11:20:00,11:42,2025-05-14 11:42:00,22
Paris,CDG,Air France,BCS3,False,2025-05-14 11:20:00,11:30,2025-05-14 11:30:00,10
Palma de Mallorca,PMI,Edelweiss Air,A320,False,2025-05-14 11:25:00,11:36,2025-05-14 11:36:00,11
Palma de Mallorca,PMI,Chair Airlines,A320,False,2025-05-14 11:30:00,13:10,2025-05-14 13:10:00,100
Tel Aviv,TLV,El Al,B738,False,2025-05-14 11:35:00,12:27,2025-05-14 12:27:00,52
Istanbul,SAW,Pegasus,A20N,False,2025-05-14 11:35:00,12:36,2025-05-14 12:36:00,61
Tirana,TIA,Swiss,A320,False,2025-05-14 11:40:00,12:21,2025-05-14 12:21:00,41
Istanbul,SAW,AJet,A321,False,2025-05-14 11:40:00,12:13,2025-05-14 12:13:00,33
Amsterdam,AMS,NetJets Europe,C68A,False,2025-05-14 11:40:00,12:07,2025-05-14 12:07:00,27
Philadelphia,PHL,American Airlines,B788,False,2025-05-14 11:45:00,12:04,2025-05-14 12:04:00,19
Zagreb,ZAG,Croatia Airlines,DH8D,False,2025-05-14 11:45:00,11:56,2025-05-14 11:56:00,11
Singapore,SIN,Singapore Airlines,B77W,False,2025-05-14 11:45:00,12:02,2025-05-14 12:02:00,17
Madrid,MAD,Iberia,A321,False,2025-05-14 11:50:00,12:52,2025-05-14 12:52:00,62
Amsterdam,AMS,KLM,B737,False,2025-05-14 11:50:00,12:46,2025-05-14 12:46:00,56
London,LCY,Swiss,BCS1,False,2025-05-14 11:50:00,12:12,2025-05-14 12:12:00,22
Geneva,GVA,Swiss,BCS3,False,2025-05-14 11:55:00,12:09,2025-05-14 12:09:00,14
Washington,IAD,United Airlines,B763,False,2025-05-14 11:55:00,12:10,2025-05-14 12:10:00,15
Cannes,CEQ,GlobeAir,C510,False,2025-05-14 11:55:00,12:06,2025-05-14 12:06:00,11
Gothenburg,GOT,Helvetic Airways,E290,False,2025-05-14 12:00:00,12:20,2025-05-14 12:20:00,20
Palermo,PMO,Swiss,A20N,False,2025-05-14 12:00:00,12:29,2025-05-14 12:29:00,29
Bucharest,OTP,Air Baltic,BCS3,False,2025-05-14 12:00:00,12:52,2025-05-14 12:52:00,52
London,LHR,Swiss,BCS3,False,2025-05-14 12:05:00,12:37,2025-05-14 12:37:00,32
Brindisi,BDS,Air Baltic,BCS3,False,2025-05-14 12:05:00,12:32,2025-05-14 12:32:00,27
Valencia,VLC,Swiss,A320,False,2025-05-14 12:05:00,12:18,2025-05-14 12:18:00,13
Athens,ATH,Swiss,A20N,False,2025-05-14 12:05:00,12:47,2025-05-14 12:47:00,42
Delhi,DEL,Swiss,A333,False,2025-05-14 12:10:00,12:34,2025-05-14 12:34:00,24
Kosice,KSC,Air Baltic,BCS3,False,2025-05-14 12:10:00,12:26,2025-05-14 12:26:00,16
Palma de Mallorca,PMI,Swiss,A320,False,2025-05-14 12:10:00,12:24,2025-05-14 12:24:00,14
Warsaw,WAW,Helvetic Airways,E190,False,2025-05-14 12:15:00,12:50,2025-05-14 12:50:00,35
Gdansk,GDN,Helvetic Airways,E290,False,2025-05-14 12:15:00,12:42,2025-05-14 12:42:00,27
Belgrade,BEG,Swiss,BCS3,False,2025-05-14 12:15:00,12:44,2025-05-14 12:44:00,29
Stockholm,ARN,Swiss,A20N,False,2025-05-14 12:20:00,12:39,2025-05-14 12:39:00,19
Naples,NAP,Swiss,A320,False,2025-05-14 12:20:00,12:49,2025-05-14 12:49:00,29
Barcelona,BCN,Swiss,A320,False,2025-05-14 12:20:00,12:41,2025-05-14 12:41:00,21
