DESTINATION_CLEAN,IATA_CODE,AIRLINE_CLEAN,AIRCRAFT_SHORT,CANCELED,DATETIME,DEPART_TIME,DEPART_DATETIME,DELAY_MINUTES
Pristina,PRN,Chair Airlines,A320,False,2025-05-10 05:45:00,06:04,2025-05-10 06:04:00,19
Antalya,AYT,Edelweiss Air,A320,False,2025-05-10 05:45:00,06:00,2025-05-10 06:00:00,15
Hurghada,HRG,Edelweiss Air,A320,False,2025-05-10 06:00:00,06:14,2025-05-10 06:14:00,14
Catania,CTA,Swiss,A20N,False,2025-05-10 06:00:00,06:11,2025-05-10 06:11:00,11
Tenerife,TFS,Edelweiss Air,A320,False,2025-05-10 06:10:00,06:36,2025-05-10 06:36:00,26
Funchal,FNC,Edelweiss Air,A320,False,2025-05-10 06:10:00,06:31,2025-05-10 06:31:00,21
Porto,OPO,Swiss,BCS3,False,2025-05-10 06:20:00,06:39,2025-05-10 06:39:00,19
Lisbon,LIS,TAP Air Portugal,A21N,False,2025-05-10 06:20:00,06:54,2025-05-10 06:54:00,34
Larnaca,LCA,Edelweiss Air,A320,False,2025-05-10 06:25:00,06:38,2025-05-10 06:38:00,13
Cagliari,CAG,Edelweiss Air,A320,False,2025-05-10 06:25:00,06:42,2025-05-10 06:42:00,17
Pristina,PRN,Edelweiss Air,A359,False,2025-05-10 06:25:00,06:50,2025-05-10 06:50:00,25
Larnaca,LCA,Chair Airlines,A319,False,2025-05-10 06:30:00,06:43,2025-05-10 06:43:00,13
Hurghada,HRG,Chair Airlines,A320,False,2025-05-10 06:30:00,06:34,2025-05-10 06:34:00,4
Tromso,TOS,Edelweiss Air,A320,False,2025-05-10 06:30:00,06:37,2025-05-10 06:37:00,7
Dublin,DUB,Helvetic Airways,E290,False,2025-05-10 06:35:00,06:53,2025-05-10 06:53:00,18
Sharm el-Sheikh,SSH,Edelweiss Air,A320,False,2025-05-10 06:40:00,07:10,2025-05-10 07:10:00,30
Palma de Mallorca,PMI,Swiss,A21N,False,2025-05-10 06:45:00,07:01,2025-05-10 07:01:00,16
Sofia,SOF,Helvetic Airways,E290,False,2025-05-10 06:50:00,07:04,2025-05-10 07:04:00,14
Brindisi,BDS,Swiss,A21N,False,2025-05-10 06:50:00,07:02,2025-05-10 07:02:00,12
Cluj-Napoca,CLJ,Helvetic Airways,E190,False,2025-05-10 06:50:00,07:13,2025-05-10 07:13:00,23
Frankfurt,FRA,Helvetic Airways,E295,False,2025-05-10 06:55:00,07:33,2025-05-10 07:33:00,38
Belgrade,BEG,Swiss,BCS1,False,2025-05-10 06:55:00,07:08,2025-05-10 07:08:00,13
Madrid,MAD,Helvetic Airways,E190,False,2025-05-10 06:55:00,07:11,2025-05-10 07:11:00,16
Amsterdam,AMS,KLM,B737,False,2025-05-10 07:00:00,08:26,2025-05-10 08:26:00,86
Krakow,KRK,Air Baltic,BCS3,False,2025-05-10 07:00:00,07:16,2025-05-10 07:16:00,16
Sarajevo,SJJ,Helvetic Airways,E295,False,2025-05-10 07:00:00,07:24,2025-05-10 07:24:00,24
Billund,BLL,Swiss,BCS3,False,2025-05-10 07:00:00,07:15,2025-05-10 07:15:00,15
London,LHR,Swiss,BCS3,False,2025-05-10 07:05:00,07:26,2025-05-10 07:26:00,21
Manchester,MAN,Swiss,BCS1,False,2025-05-10 07:05:00,07:20,2025-05-10 07:20:00,15
Naples,NAP,Swiss,A320,False,2025-05-10 07:05:00,07:22,2025-05-10 07:22:00,17
Ljubljana,LJU,Swiss,BCS3,False,2025-05-10 07:05:00,07:19,2025-05-10 07:19:00,14
Dusseldorf,DUS,Helvetic Airways,E190,False,2025-05-10 07:10:00,07:28,2025-05-10 07:28:00,18
Copenhagen,CPH,Air Baltic,BCS3,False,2025-05-10 07:10:00,07:48,2025-05-10 07:48:00,38
Barcelona,BCN,Swiss,A20N,False,2025-05-10 07:10:00,07:46,2025-05-10 07:46:00,36
Budapest,BUD,Swiss,A320,False,2025-05-10 07:10:00,07:36,2025-05-10 07:36:00,26
London,LHR,British Airways,A320,False,2025-05-10 07:15:00,07:31,2025-05-10 07:31:00,16
Hamburg,HAM,Swiss,A320,False,2025-05-10 07:15:00,07:41,2025-05-10 07:41:00,26
Munich,MUC,Swiss,BCS1,False,2025-05-10 07:15:00,07:52,2025-05-10 07:52:00,37
Bologna,BLQ,Swiss,BCS3,False,2025-05-10 07:15:00,07:43,2025-05-10 07:43:00,28
Amsterdam,AMS,Helvetic Airways,E190,False,2025-05-10 07:20:00,07:50,2025-05-10 07:50:00,30
Berlin,BER,Swiss,BCS3,False,2025-05-10 07:20:00,08:07,2025-05-10 08:07:00,47
Vienna,VIE,Swiss,A321,False,2025-05-10 07:20:00,08:00,2025-05-10 08:00:00,40
Rome,FCO,Swiss,A21N,False,2025-05-10 07:20:00,07:38,2025-05-10 07:38:00,18
Nice,NCE,Helvetic Airways,E195,False,2025-05-10 07:25:00,08:13,2025-05-10 08:13:00,48
Paris,CDG,Edelweiss Air,A320,False,2025-05-10 07:25:00,08:03,2025-05-10 08:03:00,38
Brussels,BRU,Swiss,A20N,False,2025-05-10 07:25:00,08:17,2025-05-10 08:17:00,52
Geneva,GVA,Swiss,A321,False,2025-05-10 07:25:00,07:54,2025-05-10 07:54:00,29
Madrid,MAD,Iberia,A321,False,2025-05-10 07:30:00,07:58,2025-05-10 07:58:00,28
Istanbul,IST,Turkish Airlines,B738,False,2025-05-10 07:40:00,07:56,2025-05-10 07:56:00,16
Gran Canaria,LPA,Edelweiss Air,A320,False,2025-05-10 07:40:00,08:15,2025-05-10 08:15:00,35
Paris,CDG,Air France,BCS3,False,2025-05-10 07:45:00,08:19,2025-05-10 08:19:00,34
Bari,BRI,Edelweiss Air,A320,False,2025-05-10 07:45:00,08:11,2025-05-10 08:11:00,26
Prague,PRG,Helvetic Airways,E195,False,2025-05-10 07:50:00,08:24,2025-05-10 08:24:00,34
Patras,GPA,Swiss Air,CL60,False,2025-05-10 07:50:00,08:05,2025-05-10 08:05:00,15
Frankfurt,FRA,Condor,A320,False,2025-05-10 08:00:00,08:22,2025-05-10 08:22:00,22
London,LCY,Helvetic Airways,E290,False,2025-05-10 08:05:00,08:27,2025-05-10 08:27:00,22
Frankfurt,FRA,Lufthansa,A319,False,2025-05-10 08:15:00,08:36,2025-05-10 08:36:00,21
Berlin,BER,Helvetic Airways,E295,False,2025-05-10 08:15:00,08:30,2025-05-10 08:30:00,15
Split,SPU,Edelweiss Air,A320,False,2025-05-10 08:20:00,08:45,2025-05-10 08:45:00,25
Berlin,BER,easyJet,A320,False,2025-05-10 08:25:00,08:39,2025-05-10 08:39:00,14
Hamburg,HAM,Swiss,A320,False,2025-05-10 08:30:00,08:47,2025-05-10 08:47:00,17
Rome,FCO,easyJet,A319,False,2025-05-10 08:30:00,08:50,2025-05-10 08:50:00,20
Florence,FLR,Swiss,BCS1,False,2025-05-10 08:35:00,08:41,2025-05-10 08:41:00,6
Luxembourg,LUX,Helvetic Airways,E195,False,2025-05-10 08:40:00,08:55,2025-05-10 08:55:00,15
Istanbul,IST,ULS Airlines Cargo,A310,False,2025-05-10 08:40:00,09:32,2025-05-10 09:32:00,52
Venice,VCE,Air Baltic,BCS3,False,2025-05-10 08:45:00,08:55,2025-05-10 08:55:00,10
Palma de Mallorca,PMI,Swiss,A320,False,2025-05-10 08:45:00,09:39,2025-05-10 09:39:00,54
Cologne,CGN,Eurowings,A319,False,2025-05-10 08:50:00,09:04,2025-05-10 09:04:00,14
Vienna,VIE,Austrian Airlines,E195,False,2025-05-10 08:50:00,09:08,2025-05-10 09:08:00,18
Milan,MXP,Air Baltic,BCS3,False,2025-05-10 09:00:00,09:12,2025-05-10 09:12:00,12
Tarbes,LDE,Smartwings,B738,False,2025-05-10 09:00:00,09:35,2025-05-10 09:35:00,35
Hamburg,HAM,Eurowings,A319,False,2025-05-10 09:05:00,09:26,2025-05-10 09:26:00,21
