DESTINATION_CLEAN,IATA_CODE,AIRLINE_CLEAN,AIRCRAFT_SHORT,CANCELED,DATETIME,DEPART_TIME,DEPART_DATETIME,DELAY_MINUTES
Pristina,PRN,Chair Airlines,A320,False,2025-05-04 05:45:00,06:00,2025-05-04 06:00:00,15
Ohrid,OHD,Chair Airlines,A320,False,2025-05-04 05:45:00,06:02,2025-05-04 06:02:00,17
Hurghada,HRG,Edelweiss Air,A320,False,2025-05-04 06:00:00,06:10,2025-05-04 06:10:00,10
Antalya,AYT,Edelweiss Air,A320,False,2025-05-04 06:00:00,06:12,2025-05-04 06:12:00,12
Athens,ATH,Helvetic Airways,E290,False,2025-05-04 06:10:00,06:33,2025-05-04 06:33:00,23
Lisbon,LIS,TAP Air Portugal,A20N,False,2025-05-04 06:10:00,06:51,2025-05-04 06:51:00,41
Porto,OPO,Swiss,BCS3,False,2025-05-04 06:20:00,06:31,2025-05-04 06:31:00,11
Tenerife,TFS,Edelweiss Air,A320,False,2025-05-04 06:20:00,06:37,2025-05-04 06:37:00,17
Bilbao,BIO,Swiss,A320,False,2025-05-04 06:25:00,06:36,2025-05-04 06:36:00,11
Marsa Alam,RMF,Edelweiss Air,A320,False,2025-05-04 06:25:00,06:39,2025-05-04 06:39:00,14
Gran Canaria,LPA,Edelweiss Air,A320,False,2025-05-04 06:25:00,06:41,2025-05-04 06:41:00,16
Lanzarote,ACE,Edelweiss Air,A320,False,2025-05-04 06:30:00,06:48,2025-05-04 06:48:00,18
Fuerteventura,FUE,Edelweiss Air,A320,False,2025-05-04 06:30:00,06:44,2025-05-04 06:44:00,14
Dublin,DUB,Swiss,BCS3,False,2025-05-04 06:35:00,06:49,2025-05-04 06:49:00,14
Djerba,DJE,Edelweiss Air,A320,False,2025-05-04 06:35:00,06:43,2025-05-04 06:43:00,8
Pristina,PRN,Swiss,A320,False,2025-05-04 06:45:00,07:00,2025-05-04 07:00:00,15
Warsaw,WAW,Helvetic Airways,E295,False,2025-05-04 06:50:00,07:09,2025-05-04 07:09:00,19
Thessaloniki,SKG,Helvetic Airways,E295,False,2025-05-04 06:50:00,07:05,2025-05-04 07:05:00,15
Palma de Mallorca,PMI,Swiss,A321,False,2025-05-04 06:50:00,07:02,2025-05-04 07:02:00,12
Frankfurt,FRA,Helvetic Airways,E295,False,2025-05-04 06:55:00,07:06,2025-05-04 07:06:00,11
Belgrade,BEG,Swiss,A20N,False,2025-05-04 06:55:00,07:12,2025-05-04 07:12:00,17
Madrid,MAD,Helvetic Airways,E190,False,2025-05-04 06:55:00,07:14,2025-05-04 07:14:00,19
Amsterdam,AMS,KLM,B738,False,2025-05-04 07:00:00,07:18,2025-05-04 07:18:00,18
Sarajevo,SJJ,Helvetic Airways,E290,False,2025-05-04 07:00:00,07:18,2025-05-04 07:18:00,18
Palermo,PMO,Swiss,A21N,False,2025-05-04 07:00:00,07:11,2025-05-04 07:11:00,11
Valencia,VLC,Swiss,BCS3,False,2025-05-04 07:00:00,07:09,2025-05-04 07:09:00,9
London,LHR,Swiss,A20N,False,2025-05-04 07:05:00,07:32,2025-05-04 07:32:00,27
Manchester,MAN,Helvetic Airways,E190,False,2025-05-04 07:05:00,07:21,2025-05-04 07:21:00,16
Tirana,TIA,Swiss,BCS1,False,2025-05-04 07:05:00,07:15,2025-05-04 07:15:00,10
Naples,NAP,Air Baltic,BCS3,False,2025-05-04 07:05:00,07:37,2025-05-04 07:37:00,32
Dusseldorf,DUS,Swiss,BCS1,False,2025-05-04 07:10:00,07:23,2025-05-04 07:23:00,13
Copenhagen,CPH,Swiss,A320,False,2025-05-04 07:10:00,07:28,2025-05-04 07:28:00,18
Barcelona,BCN,Swiss,A21N,False,2025-05-04 07:10:00,07:59,2025-05-04 07:59:00,49
Budapest,BUD,Air Baltic,BCS3,False,2025-05-04 07:10:00,07:40,2025-05-04 07:40:00,30
Hamburg,HAM,Swiss,BCS3,False,2025-05-04 07:15:00,07:34,2025-05-04 07:34:00,19
Munich,MUC,Edelweiss Air,A320,False,2025-05-04 07:15:00,07:42,2025-05-04 07:42:00,27
Dubrovnik,DBV,Helvetic Airways,E190,False,2025-05-04 07:15:00,07:30,2025-05-04 07:30:00,15
Amsterdam,AMS,Helvetic Airways,E195,False,2025-05-04 07:20:00,07:45,2025-05-04 07:45:00,25
Berlin,BER,Swiss,A20N,False,2025-05-04 07:20:00,07:47,2025-05-04 07:47:00,27
Vienna,VIE,Helvetic Airways,E295,False,2025-05-04 07:20:00,07:32,2025-05-04 07:32:00,12
Rome,FCO,Swiss,A321,False,2025-05-04 07:20:00,07:29,2025-05-04 07:29:00,9
Nice,NCE,Helvetic Airways,E195,False,2025-05-04 07:25:00,07:34,2025-05-04 07:34:00,9
Paris,CDG,Edelweiss Air,A320,False,2025-05-04 07:25:00,07:45,2025-05-04 07:45:00,20
Brussels,BRU,Swiss,BCS3,False,2025-05-04 07:25:00,07:40,2025-05-04 07:40:00,15
Geneva,GVA,Swiss,A320,False,2025-05-04 07:25:00,07:47,2025-05-04 07:47:00,22
Madrid,MAD,Iberia,A320,False,2025-05-04 07:30:00,07:50,2025-05-04 07:50:00,20
Figari,FSC,NetJets Europe,E55P,False,2025-05-04 07:30:00,07:24,2025-05-04 07:24:00,-6
Istanbul,IST,Turkish Airlines,B738,False,2025-05-04 07:40:00,07:50,2025-05-04 07:50:00,10
Paris,CDG,Air France,BCS3,False,2025-05-04 07:45:00,08:04,2025-05-04 08:04:00,19
London,LHR,British Airways,A20N,False,2025-05-04 07:45:00,07:56,2025-05-04 07:56:00,11
Heraklion,HER,Edelweiss Air,A359,False,2025-05-04 07:45:00,08:00,2025-05-04 08:00:00,15
Prague,PRG,Air Baltic,BCS3,False,2025-05-04 07:50:00,08:02,2025-05-04 08:02:00,12
Frankfurt,FRA,Condor,A320,False,2025-05-04 08:00:00,08:16,2025-05-04 08:16:00,16
Frankfurt,FRA,Lufthansa,A320,False,2025-05-04 08:15:00,08:30,2025-05-04 08:30:00,15
Berlin,BER,Helvetic Airways,E290,False,2025-05-04 08:15:00,08:26,2025-05-04 08:26:00,11
Istanbul,IST,Turkish Cargo,A332,False,2025-05-04 08:15:00,08:58,2025-05-04 08:58:00,43
Pristina,PRN,European Air Charter,A320,False,2025-05-04 08:20:00,08:21,2025-05-04 08:21:00,1
Hamburg,HAM,Swiss,A320,False,2025-05-04 08:30:00,08:40,2025-05-04 08:40:00,10
Rome,FCO,easyJet,A319,False,2025-05-04 08:30:00,08:40,2025-05-04 08:40:00,10
Florence,FLR,Swiss,BCS1,False,2025-05-04 08:35:00,08:45,2025-05-04 08:45:00,10
Luxembourg,LUX,Helvetic Airways,E195,False,2025-05-04 08:40:00,08:53,2025-05-04 08:53:00,13
Venice,VCE,Air Baltic,BCS3,False,2025-05-04 08:45:00,09:12,2025-05-04 09:12:00,27
Bologna,BLQ,Helvetic Airways,E290,False,2025-05-04 08:45:00,09:01,2025-05-04 09:01:00,16
Vienna,VIE,Austrian Airlines,A320,False,2025-05-04 08:50:00,09:03,2025-05-04 09:03:00,13
Nimes,FNI,Swiss Air,CL60,False,2025-05-04 08:50:00,08:59,2025-05-04 08:59:00,9
Ljubljana,LJU,Swiss,A321,False,2025-05-04 08:55:00,09:07,2025-05-04 09:07:00,12
Milan,MXP,Air Baltic,BCS3,False,2025-05-04 09:00:00,09:26,2025-05-04 09:26:00,26
Geneva,GVA,Swiss,A20N,False,2025-05-04 09:10:00,09:29,2025-05-04 09:29:00,19
Thessaloniki,SKG,Swiss,BCS3,False,2025-05-04 09:15:00,09:28,2025-05-04 09:28:00,13
Lisbon,LIS,Swiss,A321,False,2025-05-04 09:15:00,10:06,2025-05-04 10:06:00,51
Amsterdam,AMS,KLM,E295,False,2025-05-04 09:20:00,09:48,2025-05-04 09:48:00,28
Chicago,ORD,Swiss,A333,False,2025-05-04 09:25:00,09:41,2025-05-04 09:41:00,16
Athens,ATH,Swiss,A20N,False,2025-05-04 09:25:00,10:37,2025-05-04 10:37:00,72
Pisa,PSA,Haute Aviation,E55P,False,2025-05-04 09:25:00,10:15,2025-05-04 10:15:00,50
Frankfurt,FRA,Air Dolomiti,E190,False,2025-05-04 09:30:00,09:44,2025-05-04 09:44:00,14
Belgrade,BEG,Bulgaria Air,E190,False,2025-05-04 09:30:00,09:31,2025-05-04 09:31:00,1
Munich,MUC,Swiss,BCS1,False,2025-05-04 09:30:00,09:40,2025-05-04 09:40:00,10
Stuttgart,STR,Helvetic Airways,E195,False,2025-05-04 09:30:00,09:38,2025-05-04 09:38:00,8
Alicante,ALC,Swiss,A320,False,2025-05-04 09:35:00,10:09,2025-05-04 10:09:00,34
Stockholm,ARN,Air Baltic,BCS3,False,2025-05-04 09:40:00,10:07,2025-05-04 10:07:00,27
