DESTINATION_CLEAN,IATA_CODE,AIRLINE_CLEAN,AIRCRAFT_SHORT,CANCELED,DATETIME,DEPART_TIME,DEPART_DATETIME,DELAY_MINUTES
Seville,SVQ,Edelweiss Air,A320,False,2025-05-06 05:45:00,06:00,2025-05-06 06:00:00,15
Skopje,SKP,Chair Airlines,A320,False,2025-05-06 05:45:00,06:02,2025-05-06 06:02:00,17
Hurghada,HRG,Edelweiss Air,A320,False,2025-05-06 06:00:00,06:09,2025-05-06 06:09:00,9
Gran Canaria,LPA,Edelweiss Air,A320,False,2025-05-06 06:00:00,06:15,2025-05-06 06:15:00,15
Tenerife,TFS,Edelweiss Air,A320,False,2025-05-06 06:10:00,06:21,2025-05-06 06:21:00,11
Funchal,FNC,Edelweiss Air,A320,False,2025-05-06 06:10:00,06:18,2025-05-06 06:18:00,8
Porto,OPO,Swiss,BCS3,False,2025-05-06 06:20:00,06:31,2025-05-06 06:31:00,11
Lisbon,LIS,TAP Air Portugal,A20N,False,2025-05-06 06:20:00,06:29,2025-05-06 06:29:00,9
Marrakesh,RAK,Edelweiss Air,A320,False,2025-05-06 06:20:00,06:34,2025-05-06 06:34:00,14
Marsa Alam,RMF,Edelweiss Air,A320,False,2025-05-06 06:25:00,06:42,2025-05-06 06:42:00,17
Valencia,VLC,Swiss,A20N,False,2025-05-06 06:30:00,06:40,2025-05-06 06:40:00,10
Pristina,PRN,Edelweiss Air,A359,False,2025-05-06 06:30:00,06:46,2025-05-06 06:46:00,16
Lanzarote,ACE,Edelweiss Air,A320,False,2025-05-06 06:30:00,06:37,2025-05-06 06:37:00,7
Kos,KGS,Chair Airlines,A319,False,2025-05-06 06:30:00,06:39,2025-05-06 06:39:00,9
Hurghada,HRG,Chair Airlines,A320,False,2025-05-06 06:40:00,06:44,2025-05-06 06:44:00,4
Malta,MLA,Helvetic Airways,E290,False,2025-05-06 06:45:00,07:02,2025-05-06 07:02:00,17
Brindisi,BDS,Air Baltic,BCS3,False,2025-05-06 06:50:00,07:00,2025-05-06 07:00:00,10
Palma de Mallorca,PMI,Swiss,A321,False,2025-05-06 06:50:00,07:23,2025-05-06 07:23:00,33
Hannover,HAJ,Swiss,BCS1,False,2025-05-06 06:55:00,07:08,2025-05-06 07:08:00,13
Frankfurt,FRA,Helvetic Airways,E295,False,2025-05-06 06:55:00,07:15,2025-05-06 07:15:00,20
Belgrade,BEG,Swiss,A20N,False,2025-05-06 06:55:00,07:04,2025-05-06 07:04:00,9
Madrid,MAD,Helvetic Airways,E190,False,2025-05-06 06:55:00,07:18,2025-05-06 07:18:00,23
Amsterdam,AMS,KLM,B738,False,2025-05-06 07:00:00,07:29,2025-05-06 07:29:00,29
Birmingham,BHX,Helvetic Airways,E290,False,2025-05-06 07:00:00,07:14,2025-05-06 07:14:00,14
Krakow,KRK,Helvetic Airways,E190,False,2025-05-06 07:00:00,07:12,2025-05-06 07:12:00,12
London,LHR,Swiss,A21N,False,2025-05-06 07:05:00,07:37,2025-05-06 07:37:00,32
Manchester,MAN,Swiss,BCS3,False,2025-05-06 07:05:00,07:20,2025-05-06 07:20:00,15
Warsaw,WAW,Swiss,BCS3,False,2025-05-06 07:05:00,07:32,2025-05-06 07:32:00,27
Naples,NAP,Air Baltic,BCS3,False,2025-05-06 07:05:00,07:22,2025-05-06 07:22:00,17
Copenhagen,CPH,Helvetic Airways,E195,False,2025-05-06 07:10:00,07:24,2025-05-06 07:24:00,14
Barcelona,BCN,Swiss,A321,False,2025-05-06 07:10:00,07:26,2025-05-06 07:26:00,16
Budapest,BUD,Swiss,A320,False,2025-05-06 07:10:00,07:36,2025-05-06 07:36:00,26
London,LHR,British Airways,A320,False,2025-05-06 07:15:00,07:31,2025-05-06 07:31:00,16
Dresden,DRS,Helvetic Airways,E195,False,2025-05-06 07:15:00,07:44,2025-05-06 07:44:00,29
Hamburg,HAM,Swiss,BCS3,False,2025-05-06 07:15:00,07:28,2025-05-06 07:28:00,13
Munich,MUC,Helvetic Airways,E295,False,2025-05-06 07:15:00,07:38,2025-05-06 07:38:00,23
Amsterdam,AMS,Swiss,A21N,False,2025-05-06 07:20:00,07:55,2025-05-06 07:55:00,35
Berlin,BER,Helvetic Airways,E195,False,2025-05-06 07:20:00,07:34,2025-05-06 07:34:00,14
Vienna,VIE,Swiss,A320,False,2025-05-06 07:20:00,07:56,2025-05-06 07:56:00,36
Rome,FCO,Helvetic Airways,E295,False,2025-05-06 07:20:00,07:43,2025-05-06 07:43:00,23
Brussels,BRU,Swiss,A20N,False,2025-05-06 07:25:00,07:53,2025-05-06 07:53:00,28
Paris,CDG,Swiss,A21N,False,2025-05-06 07:25:00,07:58,2025-05-06 07:58:00,33
Geneva,GVA,Swiss,A320,False,2025-05-06 07:25:00,07:49,2025-05-06 07:49:00,24
Madrid,MAD,Iberia,A321,False,2025-05-06 07:30:00,07:51,2025-05-06 07:51:00,21
Nice,NCE,Swiss,BCS3,False,2025-05-06 07:30:00,08:01,2025-05-06 08:01:00,31
Dusseldorf,DUS,Swiss,BCS3,False,2025-05-06 07:30:00,07:46,2025-05-06 07:46:00,16
Istanbul,IST,Turkish Airlines,B738,False,2025-05-06 07:40:00,07:59,2025-05-06 07:59:00,19
Paris,CDG,Air France,BCS3,False,2025-05-06 07:45:00,08:26,2025-05-06 08:26:00,41
Prague,PRG,Air Baltic,BCS3,False,2025-05-06 07:50:00,08:03,2025-05-06 08:03:00,13
Frankfurt,FRA,Condor,A320,False,2025-05-06 08:00:00,08:11,2025-05-06 08:11:00,11
London,LCY,Swiss,BCS1,False,2025-05-06 08:10:00,08:17,2025-05-06 08:17:00,7
Frankfurt,FRA,Lufthansa,A319,False,2025-05-06 08:15:00,08:29,2025-05-06 08:29:00,14
Berlin,BER,Helvetic Airways,E290,False,2025-05-06 08:15:00,08:15,2025-05-06 08:15:00,0
Hamburg,HAM,Swiss,BCS3,False,2025-05-06 08:30:00,08:45,2025-05-06 08:45:00,15
Rome,FCO,easyJet,A319,False,2025-05-06 08:30:00,08:47,2025-05-06 08:47:00,17
Cologne,CGN,Eurowings,A320,False,2025-05-06 08:35:00,09:06,2025-05-06 09:06:00,31
