DESTINATION_CLEAN,IATA_CODE,AIRLINE_CLEAN,AIRCRAFT_SHORT,CANCELED,DATETIME,DEPART_TIME,DEPART_DATETIME,DELAY_MINUTES
Pristina,PRN,Chair Airlines,A320,False,2025-05-16 05:45:00,06:00,2025-05-16 06:00:00,15
Antalya,AYT,Edelweiss Air,A320,False,2025-05-16 05:45:00,06:12,2025-05-16 06:12:00,27
Hurghada,HRG,Edelweiss Air,A320,False,2025-05-16 06:00:00,06:07,2025-05-16 06:07:00,7
Bilbao,BIO,Edelweiss Air,A320,False,2025-05-16 06:00:00,06:34,2025-05-16 06:34:00,34
Lisbon,LIS,TAP Air Portugal,A20N,False,2025-05-16 06:10:00,06:42,2025-05-16 06:42:00,32
Pristina,PRN,Edelweiss Air,A320,False,2025-05-16 06:10:00,06:21,2025-05-16 06:21:00,11
Porto,OPO,Swiss,BCS3,False,2025-05-16 06:20:00,06:44,2025-05-16 06:44:00,24
Sharm el-Sheikh,SSH,Edelweiss Air,A320,False,2025-05-16 06:20:00,06:36,2025-05-16 06:36:00,16
Seville,SVQ,Edelweiss Air,A320,False,2025-05-16 06:20:00,06:51,2025-05-16 06:51:00,31
Gran Canaria,LPA,Edelweiss Air,A320,False,2025-05-16 06:25:00,06:56,2025-05-16 06:56:00,31
Funchal,FNC,Edelweiss Air,A320,False,2025-05-16 06:25:00,07:02,2025-05-16 07:02:00,37
Larnaca,LCA,Edelweiss Air,A320,False,2025-05-16 06:25:00,06:46,2025-05-16 06:46:00,21
Hurghada,HRG,Chair Airlines,A319,False,2025-05-16 06:30:00,06:30,2025-05-16 06:30:00,0
Dublin,DUB,Helvetic Airways,E190,False,2025-05-16 06:30:00,06:50,2025-05-16 06:50:00,20
Tenerife,TFS,Edelweiss Air,A320,False,2025-05-16 06:30:00,07:05,2025-05-16 07:05:00,35
Edinburgh,EDI,Swiss,BCS1,False,2025-05-16 06:35:00,06:39,2025-05-16 06:39:00,4
Palma de Mallorca,PMI,Swiss,A321,False,2025-05-16 06:45:00,07:22,2025-05-16 07:22:00,37
Billund,BLL,Swiss,A21N,False,2025-05-16 06:50:00,07:13,2025-05-16 07:13:00,23
Gdansk,GDN,Helvetic Airways,E190,False,2025-05-16 06:50:00,07:03,2025-05-16 07:03:00,13
Frankfurt,FRA,Helvetic Airways,E295,False,2025-05-16 06:55:00,07:09,2025-05-16 07:09:00,14
Belgrade,BEG,Swiss,BCS3,False,2025-05-16 06:55:00,07:16,2025-05-16 07:16:00,21
Kosice,KSC,Air Baltic,BCS3,False,2025-05-16 06:55:00,07:06,2025-05-16 07:06:00,11
Madrid,MAD,Helvetic Airways,E190,False,2025-05-16 06:55:00,07:24,2025-05-16 07:24:00,29
Farnborough,FAB,VistaJet,E35L,False,2025-05-16 06:55:00,07:44,2025-05-16 07:44:00,49
Amsterdam,AMS,KLM,B738,False,2025-05-16 07:00:00,07:18,2025-05-16 07:18:00,18
Tirana,TIA,Swiss,BCS3,False,2025-05-16 07:00:00,07:19,2025-05-16 07:19:00,19
Naples,NAP,Helvetic Airways,E295,False,2025-05-16 07:00:00,07:11,2025-05-16 07:11:00,11
Palermo,PMO,Swiss,BCS3,False,2025-05-16 07:00:00,07:31,2025-05-16 07:31:00,31
