DESTINATION_CLEAN,IATA_CODE,AIRLINE_CLEAN,AIRCRAFT_SHORT,CANCELED,DATETIME,DEPART_TIME,DEPART_DATETIME,DELAY_MINUTES
Pristina,PRN,Chair Airlines,A320,False,2025-05-09 05:45:00,06:00,2025-05-09 06:00:00,15
Antalya,AYT,Edelweiss Air,A359,False,2025-05-09 05:45:00,06:02,2025-05-09 06:02:00,17
Bilbao,BIO,Edelweiss Air,A320,False,2025-05-09 06:00:00,06:18,2025-05-09 06:18:00,18
Hurghada,HRG,Edelweiss Air,A320,False,2025-05-09 06:00:00,06:05,2025-05-09 06:05:00,5
Lisbon,LIS,TAP Air Portugal,A20N,False,2025-05-09 06:10:00,06:21,2025-05-09 06:21:00,11
Pristina,PRN,Edelweiss Air,A320,False,2025-05-09 06:10:00,06:27,2025-05-09 06:27:00,17
Sharm el-Sheikh,SSH,Edelweiss Air,A320,False,2025-05-09 06:20:00,06:29,2025-05-09 06:29:00,9
Seville,SVQ,Edelweiss Air,A320,False,2025-05-09 06:20:00,06:42,2025-05-09 06:42:00,22
Porto,OPO,Swiss,BCS3,False,2025-05-09 06:20:00,06:40,2025-05-09 06:40:00,20
Gran Canaria,LPA,Edelweiss Air,A320,False,2025-05-09 06:25:00,06:47,2025-05-09 06:47:00,22
Funchal,FNC,Edelweiss Air,A320,False,2025-05-09 06:25:00,06:35,2025-05-09 06:35:00,10
Larnaca,LCA,Edelweiss Air,A320,False,2025-05-09 06:25:00,06:44,2025-05-09 06:44:00,19
Hurghada,HRG,Chair Airlines,A320,False,2025-05-09 06:30:00,06:46,2025-05-09 06:46:00,16
Dublin,DUB,Helvetic Airways,E190,False,2025-05-09 06:30:00,06:53,2025-05-09 06:53:00,23
Tenerife,TFS,Edelweiss Air,A320,False,2025-05-09 06:30:00,06:51,2025-05-09 06:51:00,21
Geneva,GVA,Swiss,BCS3,False,2025-05-09 06:30:00,06:49,2025-05-09 06:49:00,19
Edinburgh,EDI,Edelweiss Air,A320,False,2025-05-09 06:35:00,06:56,2025-05-09 06:56:00,21
Palma de Mallorca,PMI,Swiss,A320,False,2025-05-09 06:45:00,07:05,2025-05-09 07:05:00,20
Hurghada,HRG,Edelweiss Air,A320,False,2025-05-09 06:45:00,06:58,2025-05-09 06:58:00,13
Venice,VCE,NetJets Europe,E55P,False,2025-05-09 06:45:00,06:54,2025-05-09 06:54:00,9
Billund,BLL,Swiss,A21N,False,2025-05-09 06:50:00,07:00,2025-05-09 07:00:00,10
Gdansk,GDN,Helvetic Airways,E290,False,2025-05-09 06:50:00,07:03,2025-05-09 07:03:00,13
Frankfurt,FRA,Helvetic Airways,E190,False,2025-05-09 06:55:00,07:21,2025-05-09 07:21:00,26
Belgrade,BEG,Swiss,BCS3,False,2025-05-09 06:55:00,07:10,2025-05-09 07:10:00,15
Kosice,KSC,Helvetic Airways,E195,False,2025-05-09 06:55:00,07:07,2025-05-09 07:07:00,12
Madrid,MAD,Helvetic Airways,E190,False,2025-05-09 06:55:00,07:08,2025-05-09 07:08:00,13
Amsterdam,AMS,KLM,B738,False,2025-05-09 07:00:00,07:19,2025-05-09 07:19:00,19
Tirana,TIA,Helvetic Airways,E295,False,2025-05-09 07:00:00,07:14,2025-05-09 07:14:00,14
Palermo,PMO,Helvetic Airways,E295,False,2025-05-09 07:00:00,07:12,2025-05-09 07:12:00,12
Naples,NAP,Swiss,BCS3,False,2025-05-09 07:00:00,07:16,2025-05-09 07:16:00,16
London,LHR,Swiss,A20N,False,2025-05-09 07:05:00,07:24,2025-05-09 07:24:00,19
Manchester,MAN,Swiss,BCS3,False,2025-05-09 07:05:00,07:22,2025-05-09 07:22:00,17
Billund,BLL,Swiss,A21N,False,2025-05-09 07:05:00,07:17,2025-05-09 07:17:00,12
Copenhagen,CPH,Air Baltic,BCS3,False,2025-05-09 07:10:00,07:36,2025-05-09 07:36:00,26
Barcelona,BCN,Swiss,A321,False,2025-05-09 07:10:00,07:48,2025-05-09 07:48:00,38
Budapest,BUD,Swiss,BCS3,False,2025-05-09 07:10:00,08:06,2025-05-09 08:06:00,56
London,LHR,British Airways,A320,False,2025-05-09 07:15:00,07:27,2025-05-09 07:27:00,12
Hamburg,HAM,Swiss,A20N,False,2025-05-09 07:15:00,07:25,2025-05-09 07:25:00,10
Munich,MUC,Edelweiss Air,A320,False,2025-05-09 07:15:00,07:40,2025-05-09 07:40:00,25
Krakow,KRK,Helvetic Airways,E295,False,2025-05-09 07:15:00,07:31,2025-05-09 07:31:00,16
Amsterdam,AMS,Swiss,A20N,False,2025-05-09 07:20:00,07:34,2025-05-09 07:34:00,14
Berlin,BER,Air Baltic,BCS3,False,2025-05-09 07:20:00,07:42,2025-05-09 07:42:00,22
Vienna,VIE,Swiss,A320,False,2025-05-09 07:20:00,07:33,2025-05-09 07:33:00,13
Rome,FCO,Swiss,A321,False,2025-05-09 07:20:00,07:38,2025-05-09 07:38:00,18
Paris,CDG,Swiss,A321,False,2025-05-09 07:25:00,07:55,2025-05-09 07:55:00,30
Brussels,BRU,Swiss,A320,False,2025-05-09 07:25:00,08:05,2025-05-09 08:05:00,40
Geneva,GVA,Swiss,A321,False,2025-05-09 07:25:00,07:52,2025-05-09 07:52:00,27
Madrid,MAD,Iberia,A20N,False,2025-05-09 07:30:00,07:54,2025-05-09 07:54:00,24
Nice,NCE,Swiss,BCS1,False,2025-05-09 07:30:00,07:57,2025-05-09 07:57:00,27
Dusseldorf,DUS,Helvetic Airways,E190,False,2025-05-09 07:30:00,07:49,2025-05-09 07:49:00,19
Sarajevo,SJJ,Helvetic Airways,E290,False,2025-05-09 07:30:00,07:59,2025-05-09 07:59:00,29
Heraklion,HER,Chair Airlines,A319,False,2025-05-09 07:40:00,08:15,2025-05-09 08:15:00,35
Istanbul,IST,Turkish Airlines,A321,False,2025-05-09 07:40:00,08:03,2025-05-09 08:03:00,23
Paris,CDG,Air France,BCS3,False,2025-05-09 07:45:00,08:01,2025-05-09 08:01:00,16
Prague,PRG,Helvetic Airways,E195,False,2025-05-09 07:50:00,08:08,2025-05-09 08:08:00,18
Frankfurt,FRA,Condor,A320,False,2025-05-09 08:00:00,08:10,2025-05-09 08:10:00,10
Cologne,CGN,Eurowings,A319,False,2025-05-09 08:05:00,08:26,2025-05-09 08:26:00,21
London,LCY,Swiss,BCS1,False,2025-05-09 08:10:00,08:30,2025-05-09 08:30:00,20
Berlin,BER,easyJet,A320,False,2025-05-09 08:10:00,08:17,2025-05-09 08:17:00,7
Frankfurt,FRA,Lufthansa,A320,False,2025-05-09 08:15:00,08:28,2025-05-09 08:28:00,13
Berlin,BER,Helvetic Airways,E290,False,2025-05-09 08:15:00,08:34,2025-05-09 08:34:00,19
Hamburg,HAM,Swiss,A321,False,2025-05-09 08:30:00,08:54,2025-05-09 08:54:00,24
Rome,FCO,easyJet,A319,False,2025-05-09 08:30:00,08:37,2025-05-09 08:37:00,7
Florence,FLR,Swiss,BCS1,False,2025-05-09 08:35:00,09:13,2025-05-09 09:13:00,38
Thessaloniki,SKG,Swiss,A320,False,2025-05-09 08:40:00,08:48,2025-05-09 08:48:00,8
Luxembourg,LUX,Air Baltic,BCS3,False,2025-05-09 08:40:00,09:07,2025-05-09 09:07:00,27
Ljubljana,LJU,Excellent Air,C25C,False,2025-05-09 08:40:00,08:32,2025-05-09 08:32:00,-8
Dusseldorf,DUS,Eurowings,A319,False,2025-05-09 08:45:00,09:01,2025-05-09 09:01:00,16
Venice,VCE,Air Baltic,BCS3,False,2025-05-09 08:45:00,09:11,2025-05-09 09:11:00,26
Bologna,BLQ,Helvetic Airways,E290,False,2025-05-09 08:45:00,08:56,2025-05-09 08:56:00,11
Vienna,VIE,Austrian Airlines,A320,False,2025-05-09 08:50:00,09:04,2025-05-09 09:04:00,14
Antalya,AYT,Swiss Air,CL60,False,2025-05-09 08:50:00,09:18,2025-05-09 09:18:00,28
Ljubljana,LJU,Helvetic Airways,E295,False,2025-05-09 08:55:00,09:05,2025-05-09 09:05:00,10
Milan,MXP,Air Baltic,BCS3,False,2025-05-09 09:00:00,09:22,2025-05-09 09:22:00,22
Tarbes,LDE,Smartwings,B38M,False,2025-05-09 09:00:00,09:43,2025-05-09 09:43:00,43
Brussels,BRU,Air Baltic,BCS3,False,2025-05-09 09:00:00,09:29,2025-05-09 09:29:00,29
Hamburg,HAM,Eurowings,A320,False,2025-05-09 09:05:00,09:16,2025-05-09 09:16:00,11
Berlin,BER,Eurowings,A320,False,2025-05-09 09:05:00,09:09,2025-05-09 09:09:00,4
Freiburg,QCF,Jetfly Aviation,PC24,False,2025-05-09 09:05:00,09:25,2025-05-09 09:25:00,20
Geneva,GVA,Swiss,A320,False,2025-05-09 09:10:00,09:27,2025-05-09 09:27:00,17
Thessaloniki,SKG,Aegean Airlines,A320,False,2025-05-09 09:15:00,09:32,2025-05-09 09:32:00,17
Alicante,ALC,Swiss,BCS3,False,2025-05-09 09:15:00,11:03,2025-05-09 11:03:00,108
Istanbul,IST,ULS Airlines Cargo,A310,False,2025-05-09 09:15:00,10:25,2025-05-09 10:25:00,70
Gran Canaria,LPA,Swiss Air,CL60,False,2025-05-09 09:20:00,09:41,2025-05-09 09:41:00,21
Nice,NCE,NetJets Europe,C56X,False,2025-05-09 09:20:00,09:34,2025-05-09 09:34:00,14
Chicago,ORD,Swiss,A333,False,2025-05-09 09:25:00,10:10,2025-05-09 10:10:00,45
Athens,ATH,Swiss,A320,False,2025-05-09 09:25:00,10:48,2025-05-09 10:48:00,83
Frankfurt,FRA,Air Dolomiti,E195,False,2025-05-09 09:30:00,09:39,2025-05-09 09:39:00,9
Belgrade,BEG,AirSERBIA,A319,False,2025-05-09 09:30:00,09:58,2025-05-09 09:58:00,28
Munich,MUC,Helvetic Airways,E195,False,2025-05-09 09:30:00,09:45,2025-05-09 09:45:00,15
Stuttgart,STR,Swiss,BCS1,False,2025-05-09 09:30:00,09:47,2025-05-09 09:47:00,17
Malta,MLA,Swiss,A320,False,2025-05-09 09:35:00,10:41,2025-05-09 10:41:00,66
Barcelona,BCN,Vueling,A320,False,2025-05-09 09:35:00,10:00,2025-05-09 10:00:00,25
San Jose,SJO,Edelweiss Air,A343,False,2025-05-09 09:35:00,09:52,2025-05-09 09:52:00,17
Stockholm,ARN,Air Baltic,BCS3,False,2025-05-09 09:40:00,10:15,2025-05-09 10:15:00,35
Malaga,AGP,Swiss,A21N,False,2025-05-09 09:40:00,10:05,2025-05-09 10:05:00,25
