DESTINATION_CLEAN,IATA_CODE,AIRLINE_CLEAN,AIRCRAFT_SHORT,CANCELED,DATETIME,DEPART_TIME,DEPART_DATETIME,DELAY_MINUTES
Pristina,PRN,Chair Airlines,A320,False,2025-05-13 05:45:00,06:00,2025-05-13 06:00:00,15
Seville,SVQ,Edelweiss Air,A320,False,2025-05-13 05:45:00,06:03,2025-05-13 06:03:00,18
Hurghada,HRG,Edelweiss Air,A320,False,2025-05-13 06:00:00,06:07,2025-05-13 06:07:00,7
Gran Canaria,LPA,Edelweiss Air,A320,False,2025-05-13 06:00:00,06:33,2025-05-13 06:33:00,33
Tenerife,TFS,Edelweiss Air,A320,False,2025-05-13 06:10:00,06:25,2025-05-13 06:25:00,15
Funchal,FNC,Edelweiss Air,A320,False,2025-05-13 06:10:00,06:27,2025-05-13 06:27:00,17
Porto,OPO,Swiss,BCS3,False,2025-05-13 06:20:00,06:42,2025-05-13 06:42:00,22
Lisbon,LIS,TAP Air Portugal,A320,False,2025-05-13 06:20:00,06:38,2025-05-13 06:38:00,18
Marrakesh,RAK,Edelweiss Air,A320,False,2025-05-13 06:20:00,06:31,2025-05-13 06:31:00,11
Marsa Alam,RMF,Edelweiss Air,A320,False,2025-05-13 06:25:00,06:41,2025-05-13 06:41:00,16
Kos,KGS,Chair Airlines,A319,False,2025-05-13 06:30:00,06:35,2025-05-13 06:35:00,5
Valencia,VLC,Air Baltic,BCS3,False,2025-05-13 06:30:00,06:47,2025-05-13 06:47:00,17
Lanzarote,ACE,Edelweiss Air,A320,False,2025-05-13 06:30:00,06:44,2025-05-13 06:44:00,14
Pristina,PRN,Edelweiss Air,A359,False,2025-05-13 06:30:00,06:52,2025-05-13 06:52:00,22
Hurghada,HRG,Chair Airlines,A320,False,2025-05-13 06:40:00,06:46,2025-05-13 06:46:00,6
Malta,MLA,Helvetic Airways,E290,False,2025-05-13 06:45:00,06:50,2025-05-13 06:50:00,5
Dublin,DUB,NetJets Europe,C68A,False,2025-05-13 06:45:00,07:28,2025-05-13 07:28:00,43
Brindisi,BDS,Helvetic Airways,E190,False,2025-05-13 06:50:00,07:01,2025-05-13 07:01:00,11
Palma de Mallorca,PMI,Swiss,A20N,False,2025-05-13 06:50:00,07:14,2025-05-13 07:14:00,24
Brussels,BRU,Swiss Air,CL60,False,2025-05-13 06:50:00,06:56,2025-05-13 06:56:00,6
Hannover,HAJ,Swiss,BCS3,False,2025-05-13 06:55:00,06:58,2025-05-13 06:58:00,3
Frankfurt,FRA,Helvetic Airways,E295,False,2025-05-13 06:55:00,07:20,2025-05-13 07:20:00,25
Belgrade,BEG,Air Baltic,BCS3,False,2025-05-13 06:55:00,07:06,2025-05-13 07:06:00,11
Madrid,MAD,Helvetic Airways,E290,False,2025-05-13 06:55:00,07:09,2025-05-13 07:09:00,14
Amsterdam,AMS,KLM,B738,False,2025-05-13 07:00:00,07:22,2025-05-13 07:22:00,22
Birmingham,BHX,Helvetic Airways,E195,False,2025-05-13 07:00:00,07:23,2025-05-13 07:23:00,23
Krakow,KRK,Swiss,BCS1,False,2025-05-13 07:00:00,07:13,2025-05-13 07:13:00,13
Manchester,MAN,Helvetic Airways,E295,False,2025-05-13 07:05:00,07:44,2025-05-13 07:44:00,39
London,LHR,Swiss,A21N,False,2025-05-13 07:05:00,07:27,2025-05-13 07:27:00,22
Warsaw,WAW,Helvetic Airways,E190,False,2025-05-13 07:05:00,07:25,2025-05-13 07:25:00,20
Naples,NAP,Swiss,A320,False,2025-05-13 07:05:00,07:16,2025-05-13 07:16:00,11
Copenhagen,CPH,Helvetic Airways,E290,False,2025-05-13 07:10:00,07:31,2025-05-13 07:31:00,21
Barcelona,BCN,Swiss,BCS1,False,2025-05-13 07:10:00,07:40,2025-05-13 07:40:00,30
Budapest,BUD,Swiss,A320,False,2025-05-13 07:10:00,07:29,2025-05-13 07:29:00,19
London,LHR,British Airways,A20N,False,2025-05-13 07:15:00,07:33,2025-05-13 07:33:00,18
Dresden,DRS,Swiss,BCS3,False,2025-05-13 07:15:00,07:19,2025-05-13 07:19:00,4
Hamburg,HAM,Swiss,BCS3,False,2025-05-13 07:15:00,07:52,2025-05-13 07:52:00,37
Munich,MUC,Helvetic Airways,E195,False,2025-05-13 07:15:00,07:37,2025-05-13 07:37:00,22
Amsterdam,AMS,Swiss,A320,False,2025-05-13 07:20:00,07:46,2025-05-13 07:46:00,26
Berlin,BER,Helvetic Airways,E295,False,2025-05-13 07:20:00,07:34,2025-05-13 07:34:00,14
Vienna,VIE,Swiss,A20N,False,2025-05-13 07:20:00,07:43,2025-05-13 07:43:00,23
Rome,FCO,Swiss,A21N,False,2025-05-13 07:20:00,07:38,2025-05-13 07:38:00,18
Paris,CDG,Swiss,A321,False,2025-05-13 07:25:00,07:59,2025-05-13 07:59:00,34
Brussels,BRU,Swiss,A320,False,2025-05-13 07:25:00,07:48,2025-05-13 07:48:00,23
Geneva,GVA,Swiss,A320,False,2025-05-13 07:25:00,07:49,2025-05-13 07:49:00,24
Madrid,MAD,Iberia,A321,False,2025-05-13 07:30:00,07:54,2025-05-13 07:54:00,24
Nice,NCE,Swiss,A21N,False,2025-05-13 07:30:00,07:56,2025-05-13 07:56:00,26
Dusseldorf,DUS,Swiss,BCS3,False,2025-05-13 07:30:00,07:51,2025-05-13 07:51:00,21
Braunschweig,BWE,Jet Aviation Business Jets,C25C,False,2025-05-13 07:30:00,07:41,2025-05-13 07:41:00,11
Istanbul,IST,Turkish Airlines,B738,False,2025-05-13 07:40:00,07:57,2025-05-13 07:57:00,17
Paris,CDG,Air France,BCS3,False,2025-05-13 07:45:00,08:08,2025-05-13 08:08:00,23
Prague,PRG,Air Baltic,BCS3,False,2025-05-13 07:50:00,08:04,2025-05-13 08:04:00,14
Frankfurt,FRA,Condor,A320,False,2025-05-13 08:00:00,08:19,2025-05-13 08:19:00,19
London,LCY,Swiss,BCS1,False,2025-05-13 08:10:00,08:22,2025-05-13 08:22:00,12
Frankfurt,FRA,Lufthansa,A319,False,2025-05-13 08:15:00,08:29,2025-05-13 08:29:00,14
Berlin,BER,Helvetic Airways,E290,False,2025-05-13 08:15:00,08:43,2025-05-13 08:43:00,28
Hamburg,HAM,Swiss,BCS3,False,2025-05-13 08:30:00,08:37,2025-05-13 08:37:00,7
Rome,FCO,easyJet,A319,False,2025-05-13 08:30:00,08:45,2025-05-13 08:45:00,15
Cologne,CGN,Eurowings,A320,False,2025-05-13 08:35:00,08:35,2025-05-13 08:35:00,0
Florence,FLR,Swiss,BCS1,False,2025-05-13 08:35:00,09:03,2025-05-13 09:03:00,28
Luxembourg,LUX,Helvetic Airways,E190,False,2025-05-13 08:40:00,09:06,2025-05-13 09:06:00,26
