DESTINATION_CLEAN,IATA_CODE,AIRLINE_CLEAN,AIRCRAFT_SHORT,CANCELED,DATETIME,DEPART_TIME,DEPART_DATETIME,DELAY_MINUTES
Marrakesh,RAK,Edelweiss Air,A320,False,2025-05-08 05:45:00,06:00,2025-05-08 06:00:00,15
Pristina,PRN,Chair Airlines,A320,False,2025-05-08 05:45:00,06:02,2025-05-08 06:02:00,17
Lisbon,LIS,TAP Air Portugal,A20N,False,2025-05-08 06:00:00,06:10,2025-05-08 06:10:00,10
Bilbao,BIO,Edelweiss Air,A320,False,2025-05-08 06:00:00,06:05,2025-05-08 06:05:00,5
Larnaca,LCA,Edelweiss Air,A320,False,2025-05-08 06:10:00,06:31,2025-05-08 06:31:00,21
Cagliari,CAG,Edelweiss Air,A320,False,2025-05-08 06:10:00,06:17,2025-05-08 06:17:00,7
Porto,OPO,Swiss,BCS3,False,2025-05-08 06:20:00,06:38,2025-05-08 06:38:00,18
Hurghada,HRG,Edelweiss Air,A320,False,2025-05-08 06:20:00,06:26,2025-05-08 06:26:00,6
Seville,SVQ,Edelweiss Air,A320,False,2025-05-08 06:20:00,06:35,2025-05-08 06:35:00,15
Heraklion,HER,Edelweiss Air,A320,False,2025-05-08 06:20:00,06:28,2025-05-08 06:28:00,8
Malaga,AGP,VistaJet,FA7X,False,2025-05-08 06:25:00,06:46,2025-05-08 06:46:00,21
Edinburgh,EDI,Swiss,BCS3,False,2025-05-08 06:25:00,06:41,2025-05-08 06:41:00,16
Kos,KGS,Edelweiss Air,A320,False,2025-05-08 06:30:00,06:43,2025-05-08 06:43:00,13
Dublin,DUB,Helvetic Airways,E290,False,2025-05-08 06:35:00,06:48,2025-05-08 06:48:00,13
Marsa Alam,RMF,Edelweiss Air,A320,False,2025-05-08 06:35:00,06:49,2025-05-08 06:49:00,14
Marsa Alam,RMF,Chair Airlines,A320,False,2025-05-08 06:40:00,06:44,2025-05-08 06:44:00,4
