DESTINATION_CLEAN,IATA_CODE,AIRLINE_CLEAN,AIRCRAFT_SHORT,CANCELED,DATETIME,DEPART_TIME,DEPART_DATETIME,DELAY_MINUTES
Pristina,PRN,Chair Airlines,A320,False,2025-05-12 05:45:00,06:00,2025-05-12 06:00:00,15
Larnaca,LCA,Edelweiss Air,A320,False,2025-05-12 05:45:00,06:02,2025-05-12 06:02:00,17
Hurghada,HRG,Edelweiss Air,A320,False,2025-05-12 06:00:00,06:06,2025-05-12 06:06:00,6
Heraklion,HER,Edelweiss Air,A320,False,2025-05-12 06:00:00,06:13,2025-05-12 06:13:00,13
Gran Canaria,LPA,Edelweiss Air,A320,False,2025-05-12 06:10:00,08:18,2025-05-12 08:18:00,128
Antalya,AYT,Edelweiss Air,A320,False,2025-05-12 06:10:00,06:17,2025-05-12 06:17:00,7
Lisbon,LIS,TAP Air Portugal,A320,False,2025-05-12 06:20:00,06:30,2025-05-12 06:30:00,10
Tenerife,TFS,Edelweiss Air,A320,False,2025-05-12 06:20:00,06:33,2025-05-12 06:33:00,13
Marrakesh,RAK,Edelweiss Air,A320,False,2025-05-12 06:25:00,06:39,2025-05-12 06:39:00,14
Olbia,OLB,Edelweiss Air,A320,False,2025-05-12 06:25:00,06:42,2025-05-12 06:42:00,17
Pristina,PRN,Edelweiss Air,A359,False,2025-05-12 06:30:00,06:37,2025-05-12 06:37:00,7
Hurghada,HRG,Chair Airlines,A320,False,2025-05-12 06:45:00,06:51,2025-05-12 06:51:00,6
Bilbao,BIO,Edelweiss Air,A320,False,2025-05-12 06:45:00,07:06,2025-05-12 07:06:00,21
Funchal,FNC,Edelweiss Air,A320,False,2025-05-12 06:45:00,07:18,2025-05-12 07:18:00,33
Brindisi,BDS,Helvetic Airways,E195,False,2025-05-12 06:50:00,06:58,2025-05-12 06:58:00,8
Palma de Mallorca,PMI,Swiss,A20N,False,2025-05-12 06:50:00,07:12,2025-05-12 07:12:00,22
London,LCY,Swiss,BCS1,False,2025-05-12 06:55:00,07:09,2025-05-12 07:09:00,14
Frankfurt,FRA,Helvetic Airways,E295,False,2025-05-12 06:55:00,07:07,2025-05-12 07:07:00,12
Belgrade,BEG,Swiss,BCS1,False,2025-05-12 06:55:00,07:15,2025-05-12 07:15:00,20
Madrid,MAD,Swiss,BCS3,False,2025-05-12 06:55:00,07:22,2025-05-12 07:22:00,27
Amsterdam,AMS,KLM,B739,False,2025-05-12 07:00:00,07:30,2025-05-12 07:30:00,30
Billund,BLL,Air Baltic,BCS3,False,2025-05-12 07:00:00,07:16,2025-05-12 07:16:00,16
Krakow,KRK,Air Baltic,BCS3,False,2025-05-12 07:00:00,07:13,2025-05-12 07:13:00,13
London,LHR,Swiss,A21N,False,2025-05-12 07:05:00,07:26,2025-05-12 07:26:00,21
Manchester,MAN,Swiss,A20N,False,2025-05-12 07:05:00,07:23,2025-05-12 07:23:00,18
Warsaw,WAW,Swiss,BCS1,False,2025-05-12 07:05:00,07:33,2025-05-12 07:33:00,28
Naples,NAP,Swiss,A321,False,2025-05-12 07:05:00,07:19,2025-05-12 07:19:00,14
Gothenburg,GOT,Helvetic Airways,E290,False,2025-05-12 07:10:00,07:24,2025-05-12 07:24:00,14
Copenhagen,CPH,Swiss,A320,False,2025-05-12 07:10:00,07:52,2025-05-12 07:52:00,42
Barcelona,BCN,Swiss,A21N,False,2025-05-12 07:10:00,07:28,2025-05-12 07:28:00,18
Budapest,BUD,Helvetic Airways,E290,False,2025-05-12 07:10:00,07:34,2025-05-12 07:34:00,24
London,LHR,British Airways,A320,False,2025-05-12 07:15:00,07:49,2025-05-12 07:49:00,34
Hamburg,HAM,Swiss,A20N,False,2025-05-12 07:15:00,07:36,2025-05-12 07:36:00,21
Munich,MUC,Helvetic Airways,E195,False,2025-05-12 07:15:00,07:37,2025-05-12 07:37:00,22
Amsterdam,AMS,Swiss,BCS3,False,2025-05-12 07:20:00,07:46,2025-05-12 07:46:00,26
Berlin,BER,Swiss,BCS3,False,2025-05-12 07:20:00,07:47,2025-05-12 07:47:00,27
Rome,FCO,Swiss,A320,False,2025-05-12 07:20:00,07:40,2025-05-12 07:40:00,20
Vienna,VIE,Swiss,A20N,False,2025-05-12 07:20:00,07:44,2025-05-12 07:44:00,24
Paris,CDG,Swiss,A321,False,2025-05-12 07:25:00,07:56,2025-05-12 07:56:00,31
Brussels,BRU,Swiss,A20N,False,2025-05-12 07:25:00,07:59,2025-05-12 07:59:00,34
Geneva,GVA,Swiss,A320,False,2025-05-12 07:25:00,07:39,2025-05-12 07:39:00,14
Nice,NCE,Swiss,BCS1,False,2025-05-12 07:30:00,07:53,2025-05-12 07:53:00,23
Dusseldorf,DUS,Helvetic Airways,E295,False,2025-05-12 07:30:00,07:58,2025-05-12 07:58:00,28
Ponta Delgada,PDL,Edelweiss Air,A320,False,2025-05-12 07:30:00,07:50,2025-05-12 07:50:00,20
Dresden,DRS,Helvetic Airways,E190,False,2025-05-12 07:35:00,07:41,2025-05-12 07:41:00,6
Wroclaw,WRO,Helvetic Airways,E290,False,2025-05-12 07:35:00,08:29,2025-05-12 08:29:00,54
Hurghada,HRG,Edelweiss Air,A320,False,2025-05-12 07:35:00,08:03,2025-05-12 08:03:00,28
Hannover,HAJ,Air Baltic,BCS3,False,2025-05-12 07:40:00,08:09,2025-05-12 08:09:00,29
Bremen,BRE,Helvetic Airways,E195,False,2025-05-12 07:40:00,07:54,2025-05-12 07:54:00,14
Istanbul,IST,Turkish Airlines,A321,False,2025-05-12 07:40:00,08:04,2025-05-12 08:04:00,24
Oberpfaffenhofen,OBF,Arcus Air,E145,False,2025-05-12 07:40:00,08:01,2025-05-12 08:01:00,21
Salzburg,SZG,Flexjet,E550,False,2025-05-12 07:45:00,08:10,2025-05-12 08:10:00,25
Prague,PRG,Helvetic Airways,E190,False,2025-05-12 07:50:00,08:13,2025-05-12 08:13:00,23
Frankfurt,FRA,Condor,A320,False,2025-05-12 08:00:00,08:16,2025-05-12 08:16:00,16
Cologne,CGN,Eurowings,A319,False,2025-05-12 08:05:00,08:12,2025-05-12 08:12:00,7
London,LCY,Helvetic Airways,E290,False,2025-05-12 08:10:00,08:24,2025-05-12 08:24:00,14
Berlin,BER,easyJet,A320,False,2025-05-12 08:10:00,08:22,2025-05-12 08:22:00,12
Frankfurt,FRA,Lufthansa,A319,False,2025-05-12 08:15:00,08:32,2025-05-12 08:32:00,17
Berlin,BER,Helvetic Airways,E295,False,2025-05-12 08:15:00,08:34,2025-05-12 08:34:00,19
Hamburg,HAM,Swiss,A321,False,2025-05-12 08:30:00,08:55,2025-05-12 08:55:00,25
Rome,FCO,easyJet,A319,False,2025-05-12 08:30:00,08:42,2025-05-12 08:42:00,12
Naples,NAP,easyJet,A320,False,2025-05-12 08:30:00,08:40,2025-05-12 08:40:00,10
Ingolstadt,IGS,GlobeAir,C510,False,2025-05-12 08:30:00,08:46,2025-05-12 08:46:00,16
Florence,FLR,Swiss,BCS1,False,2025-05-12 08:35:00,08:43,2025-05-12 08:43:00,8
Luxembourg,LUX,Air Baltic,BCS3,False,2025-05-12 08:40:00,09:08,2025-05-12 09:08:00,28
Dusseldorf,DUS,Eurowings,A320,False,2025-05-12 08:45:00,08:53,2025-05-12 08:53:00,8
Venice,VCE,Air Baltic,BCS3,False,2025-05-12 08:45:00,09:16,2025-05-12 09:16:00,31
Bologna,BLQ,Helvetic Airways,E195,False,2025-05-12 08:45:00,09:05,2025-05-12 09:05:00,20
Vienna,VIE,Austrian Airlines,A320,False,2025-05-12 08:50:00,09:14,2025-05-12 09:14:00,24
Ljubljana,LJU,Swiss,BCS3,False,2025-05-12 08:55:00,09:21,2025-05-12 09:21:00,26
Graz,GRZ,Helvetic Airways,E190,False,2025-05-12 09:00:00,09:24,2025-05-12 09:24:00,24
Milan,MXP,Swiss,BCS3,False,2025-05-12 09:00:00,09:10,2025-05-12 09:10:00,10
Brussels,BRU,Brussels Airlines,A20N,False,2025-05-12 09:00:00,09:12,2025-05-12 09:12:00,12
Hamburg,HAM,Eurowings,A319,False,2025-05-12 09:05:00,09:19,2025-05-12 09:19:00,14
Berlin,BER,Eurowings,A320,False,2025-05-12 09:05:00,09:26,2025-05-12 09:26:00,21
Geneva,GVA,Swiss,A320,False,2025-05-12 09:10:00,09:30,2025-05-12 09:30:00,20
Thessaloniki,SKG,Aegean Airlines,A320,False,2025-05-12 09:15:00,09:23,2025-05-12 09:23:00,8
Amsterdam,AMS,KLM,B738,False,2025-05-12 09:20:00,09:40,2025-05-12 09:40:00,20
Alicante,ALC,Swiss,BCS3,False,2025-05-12 09:20:00,09:33,2025-05-12 09:33:00,13
Athens,ATH,Swiss,A320,False,2025-05-12 09:25:00,10:17,2025-05-12 10:17:00,52
Frankfurt,FRA,Air Dolomiti,E190,False,2025-05-12 09:30:00,09:44,2025-05-12 09:44:00,14
Belgrade,BEG,AirSERBIA,A319,False,2025-05-12 09:30:00,09:46,2025-05-12 09:46:00,16
Munich,MUC,Helvetic Airways,E295,False,2025-05-12 09:30:00,09:48,2025-05-12 09:48:00,18
Munich,MUC,Swiss Air,CL60,False,2025-05-12 09:30:00,09:43,2025-05-12 09:43:00,13
Stuttgart,STR,Swiss,A320,False,2025-05-12 09:35:00,09:56,2025-05-12 09:56:00,21
Manchester,MAN,easyJet,A20N,False,2025-05-12 09:35:00,09:54,2025-05-12 09:54:00,19
Barcelona,BCN,Vueling,A321,False,2025-05-12 09:35:00,09:50,2025-05-12 09:50:00,15
Stockholm,ARN,Air Baltic,BCS3,False,2025-05-12 09:40:00,10:06,2025-05-12 10:06:00,26
Malaga,AGP,Swiss,A321,False,2025-05-12 09:40:00,09:59,2025-05-12 09:59:00,19
Doha,DOH,Qatar Airways,A359,False,2025-05-12 09:40:00,10:06,2025-05-12 10:06:00,26
Antalya,AYT,SunExpress,B738,False,2025-05-12 09:40:00,10:02,2025-05-12 10:02:00,22
Mumbai,BOM,Swiss,A333,False,2025-05-12 09:45:00,10:12,2025-05-12 10:12:00,27
Bolzano,BZO,NetJets Europe,CL35,False,2025-05-12 09:45:00,09:58,2025-05-12 09:58:00,13
Lisbon,LIS,Swiss,A20N,False,2025-05-12 09:50:00,10:09,2025-05-12 10:09:00,19
Chicago,ORD,United Airlines,B763,False,2025-05-12 09:50:00,10:04,2025-05-12 10:04:00,14
Palma de Mallorca,PMI,easyJet,A320,False,2025-05-12 09:55:00,10:10,2025-05-12 10:10:00,15
Las Vegas,LAS,Edelweiss Air,A343,False,2025-05-12 09:55:00,10:16,2025-05-12 10:16:00,21
New York,JFK,Swiss,A333,False,2025-05-12 10:00:00,10:23,2025-05-12 10:23:00,23
